player.id,age
316148,33
783374,32
1986794,20
905639,28
934354,26
103045,34
1103589,22
1472288,22
1473092,22
239632,32
791092,29
970370,26
363782,31
1049515,26
846147,28
1477662,21
904424,28
846061,27
1138352,25
1019442,24
1202024,22
886041,31
839493,30
1006509,29
1105688,25
841802,27
841793,28
841006,29
985131,26
833352,32
842253,28
936184,32
159931,35
1217929,25
159935,35
985161,27
144800,35
1172599,32
796326,31
1217937,24
159939,34
928021,27
796330,27
796328,29
83951,38
156102,36
1021117,30
190419,31
927407,26
954836,26
847467,28
964994,24
15466,40
136710,32
1066802,25
1090019,23
38710,37
827668,28
67647,35
37318,35
1091303,22
949156,23
190437,31
943212,26
835678,26
257091,29
1405212,19
789234,28
796206,29
814882,28
357596,28
916183,25
1019321,23
125787,37
870360,30
566102,30
818481,28
344847,33
1174889,23
355796,31
844096,28
107414,35
914213,28
883537,29
221162,33
281253,33
1015292,26
926238,31
33596,37
360396,31
931705,29
822110,32
158583,34
877299,26
590392,28
1160386,23
980580,27
1066915,25
887055,27
599192,32
863653,28
238612,32
817979,28
1019957,28
174975,32
1391541,21
892624,29
917305,28
115665,35
805123,29
1171539,21
825945,29
354046,32
758664,29
963399,24
1121943,21
927616,27
991200,28
352912,30
353602,31
46387,35
1160969,28
344953,30
862078,29
1007556,32
325061,30
1500291,20
831488,29
843746,28
142148,33
1136110,21
1049701,24
283833,29
1425366,18
878081,28
14990,40
1102659,23
1129610,25
802830,28
1149353,21
844447,28
885719,27
1587186,18
858004,28
1102791,23
795421,29
988893,24
927797,27
1100965,22
259803,32
1012458,26
884189,36
233746,36
1892282,28
796497,30
1014561,24
911427,33
303826,35
797734,31
794541,29
93953,35
897882,35
936542,25
796501,29
1083016,22
229278,33
891157,28
985171,27
243199,36
1148402,22
1396639,21
1501518,20
326185,32
985156,27
556866,28
1127823,23
282229,29
383560,31
67769,33
115516,34
117777,33
799054,29
1518931,20
872919,28
352296,29
157377,33
850891,29
944327,25
787422,32
352290,29
1005744,24
149656,32
814023,28
999276,23
770677,29
1034082,24
929620,24
865523,26
990550,25
155736,31
984419,27
1413129,20
801411,28
829207,31
973290,27
1093229,22
937255,27
1464637,25
935564,26
790179,31
886223,29
902083,26
1172477,26
1119328,25
976313,26
973286,29
1087790,22
1020472,30
1411145,22
1469180,26
843665,25
273031,34
1002489,23
